import time: self [us] | cumulative | imported package
import time:       148 |        148 | winreg
import time:       267 |        267 |   _io
import time:        48 |         48 |   marshal
import time:       228 |        228 |   nt
import time:       960 |       1502 | _frozen_importlib_external
import time:       844 |        844 |   time
import time:       348 |       1192 | zipimport
import time:        99 |         99 |     _codecs
import time:      1066 |       1165 |   codecs
import time:      4403 |       4403 |   encodings.aliases
import time:      2006 |       2006 |   encodings._win_cp_codecs
import time:      2779 |      10351 | encodings
import time:      1005 |       1005 | encodings.utf_8
import time:       954 |        954 | encodings.cp1252
import time:        87 |         87 | _signal
import time:        52 |         52 |       _abc
import time:       229 |        281 |     abc
import time:        72 |         72 |       _stat
import time:       207 |        278 |     stat
import time:      1196 |       1196 |     _collections_abc
import time:       122 |        122 |       genericpath
import time:       128 |        128 |       _winapi
import time:       334 |        584 |     ntpath
import time:       671 |       3009 |   os
import time:       148 |        148 |   _sitebuiltins
import time:        79 |         79 |   errno
import time:      7685 |       7685 |   encodings.utf_8_sig
import time:       121 |        121 |     _types
import time:      2216 |       2337 |   types
import time:      4878 |       4878 |     importlib
import time:      7784 |       7784 |     importlib._abc
import time:      1681 |      14342 |   importlib.util
import time:       124 |        124 |   importlib.machinery
import time:       735 |        735 |   sitecustomize
import time:      6234 |      34691 | site
import time:      1481 |       1481 | linecache
import time:        68 |         68 |       _contextvars
import time:      1291 |       1359 |     _py_warnings
import time:       951 |       2309 |   warnings
import time:      2038 |       2038 |     __future__
import time:       349 |        349 |       io
import time:      2461 |       2461 |         enum
import time:       265 |        265 |           _sre
import time:      1468 |       1468 |             re._constants
import time:      2022 |       3490 |           re._parser
import time:      1332 |       1332 |           re._casefix
import time:      1936 |       7021 |         re._compiler
import time:       219 |        219 |             itertools
import time:      1172 |       1172 |             keyword
import time:       161 |        161 |               _operator
import time:      1273 |       1433 |             operator
import time:      1043 |       1043 |             reprlib
import time:       133 |        133 |             _collections
import time:      3613 |       7611 |           collections
import time:       146 |        146 |           _functools
import time:      3987 |      11743 |         functools
import time:      1452 |       1452 |         copyreg
import time:      1985 |      24660 |       re
import time:      4479 |       4479 |         textwrap
import time:      1455 |       1455 |         codeop
import time:      1657 |       1657 |           token
import time:       134 |        134 |           _tokenize
import time:      2555 |       4345 |         tokenize
import time:      8041 |       8041 |                 _weakrefset
import time:      2040 |      10080 |               weakref
import time:      1645 |      11725 |             copy
import time:       193 |        193 |                   _ast
import time:      1794 |       1986 |                 ast
import time:      2599 |       4584 |               annotationlib
import time:       110 |        110 |                   _opcode
import time:      1313 |       1313 |                   _opcode_metadata
import time:      1975 |       3396 |                 opcode
import time:      5899 |       9294 |               dis
import time:      6058 |      19935 |             inspect
import time:      2533 |      34193 |           dataclasses
import time:     12217 |      46410 |         _colorize
import time:      2532 |       2532 |         contextlib
import time:      2495 |      61713 |       traceback
import time:       105 |        105 |         _string
import time:      2198 |       2303 |       string
import time:      2884 |       2884 |       threading
import time:       119 |        119 |       atexit
import time:      4311 |      96336 |     logging
import time:       158 |        158 |       _typing
import time:     20459 |      20616 |     typing
import time:      6636 |       6636 |         _socket
import time:      3163 |       9799 |       socket
import time:      3092 |       3092 |         email
import time:      2310 |       5402 |       email.errors
import time:      2518 |       2518 |         http
import time:       184 |        184 |                 binascii
import time:      1338 |       1338 |                 email.quoprimime
import time:       198 |        198 |                       _struct
import time:      1738 |       1936 |                     struct
import time:      2878 |       4814 |                   base64
import time:      1035 |       5848 |                 email.base64mime
import time:      1556 |       1556 |                     quopri
import time:      1125 |       2681 |                   email.encoders
import time:      1283 |       3964 |                 email.charset
import time:      2047 |      13380 |               email.header
import time:       131 |        131 |                   _datetime
import time:      1255 |       1386 |                 datetime
import time:      1302 |       1302 |                   urllib
import time:       163 |        163 |                   math
import time:      6335 |       6335 |                   ipaddress
import time:      3398 |      11196 |                 urllib.parse
import time:      1579 |       1579 |                 email._parseaddr
import time:      1915 |      16075 |               email.utils
import time:      1302 |      30756 |             email._policybase
import time:      1929 |      32685 |           email.feedparser
import time:      1067 |      33751 |         email.parser
import time:      1890 |       1890 |           email._encoded_words
import time:      1000 |       1000 |           email.iterators
import time:      2796 |       5686 |         email.message
import time:      4384 |       4384 |           _ssl
import time:      6090 |      10473 |         ssl
import time:      2771 |      55196 |       http.client
import time:      2829 |      73224 |     urllib3.exceptions
import time:      1309 |       1309 |             urllib3.util.timeout
import time:      3883 |       5192 |           urllib3.util.connection
import time:      1070 |       1070 |             urllib3.util.util
import time:      1019 |       1019 |             brotlicffi
import time:       470 |        470 |             brotli
import time:      1021 |       1021 |             compression
import time:      1808 |       1808 |               _zstd
import time:      1302 |       1302 |                 compression._common
import time:      2634 |       2634 |                 compression._common._streams
import time:      1817 |       5753 |               compression.zstd._zstdfile
import time:      2862 |      10422 |             compression.zstd
import time:      3091 |      17091 |           urllib3.util.request
import time:      1807 |       1807 |           urllib3.util.response
import time:       147 |        147 |                 _bisect
import time:      1569 |       1715 |               bisect
import time:        91 |         91 |               _random
import time:      1708 |       3514 |             random
import time:      2273 |       5787 |           urllib3.util.retry
import time:      2735 |       2735 |               _hashlib
import time:       121 |        121 |               _blake2
import time:      2391 |       5245 |             hashlib
import time:       264 |        264 |               _hmac
import time:      2333 |       2597 |             hmac
import time:      8197 |       8197 |             urllib3.util.url
import time:      1463 |       1463 |             urllib3.util.ssltransport
import time:      2197 |      19696 |           urllib3.util.ssl_
import time:      1564 |       1564 |             select
import time:      1051 |       2614 |           urllib3.util.wait
import time:      1086 |      53271 |         urllib3.util
import time:        58 |      53328 |       urllib3.util.connection
import time:      2130 |      55458 |     urllib3._base_connection
import time:      3094 |       3094 |     urllib3._collections
import time:      1383 |       1383 |     urllib3._version
import time:        94 |         94 |           _heapq
import time:      1231 |       1325 |         heapq
import time:      1840 |       1840 |         _queue
import time:      1578 |       4742 |       queue
